Date,Open Price,High Price,Low Price,Last Price,VWAP (Vol Weighted Average Price),Volume
5/21/15,1.93196,1.94227,1.92422,1.93454,1.9363,70100
5/22/15,1.95062,2.06414,1.94287,1.94804,1.9543,148100
5/25/15,1.95062,2.06414,1.94287,1.94804,1.9543,148100
5/26/15,1.958,1.958,1.93478,1.93478,1.9412,117900
5/27/15,1.93346,1.93604,1.92057,1.92831,1.9293,86800
5/28/15,1.92935,1.93451,1.92419,1.92677,1.9303,74400
5/29/15,1.93206,1.93979,1.92432,1.9269,1.9314,131400
6/1/15,1.92873,1.93904,1.91584,1.92099,1.9258,76900
6/2/15,1.92087,1.93634,1.92087,1.92345,1.9248,43700
6/3/15,1.92432,1.92948,1.914,1.91916,1.9202,71100
6/4/15,1.92208,1.94272,1.91692,1.91692,1.9251,79800
6/5/15,1.93466,1.93466,1.90629,1.91144,1.9106,76800
6/8/15,1.91176,1.93498,1.8937,1.90144,1.9068,57300
6/9/15,1.89597,1.89855,1.88823,1.89339,1.8927,62900
6/10/15,1.89614,1.89614,1.89098,1.89614,1.8953,161500
6/11/15,1.91417,1.91675,1.90643,1.91417,1.9116,62400
6/12/15,1.91665,1.91923,1.91149,1.91665,1.9161,24100
6/15/15,1.91933,1.91933,1.89611,1.90127,1.9041,139300
6/16/15,1.91943,1.91943,1.89105,1.89105,1.8943,25600
6/17/15,1.8986,1.91407,1.8986,1.91407,1.9092,110500
6/18/15,1.90901,1.91417,1.90643,1.91417,1.9132,78000
6/19/15,1.91705,1.94027,1.91705,1.94027,1.9352,245900
6/22/15,1.9299,1.94022,1.92216,1.92732,1.926,222300
6/23/15,1.93473,1.93731,1.93216,1.93216,1.9348,138400
6/24/15,1.93228,1.94002,1.92712,1.9297,1.9323,149900
6/25/15,1.92972,1.9323,1.91683,1.92199,1.9227,181400
6/26/15,1.91412,1.91412,1.90638,1.90896,1.9093,54200
6/29/15,1.90896,1.92186,1.88317,1.89091,1.8938,139100
6/30/15,1.88338,1.88338,1.87564,1.87822,1.8784,668400
7/1/15,1.88338,1.88338,1.87564,1.87822,1.8784,668400
7/2/15,1.89641,1.89641,1.88867,1.89125,1.8909,224800
7/3/15,1.89091,1.89864,1.88575,1.89091,1.8892,76500
7/6/15,1.8702,1.88051,1.84956,1.87535,1.8711,103300
7/7/15,1.89548,1.90064,1.89548,1.89806,1.8975,29000
7/8/15,1.89108,1.89882,1.87302,1.88076,1.8862,65700
7/9/15,1.8707,1.88102,1.86554,1.87586,1.8717,31400
7/10/15,1.88604,1.88862,1.88088,1.88862,1.8856,44900
7/13/15,1.8885,1.89624,1.88076,1.89366,1.8876,695200
7/14/15,1.90931,1.91189,1.90931,1.91189,1.9118,19600
7/15/15,1.92233,1.92233,1.91975,1.91975,1.9206,28300
7/16/15,1.92744,1.92744,1.92228,1.92486,1.9228,182700
7/17/15,1.93273,1.93273,1.93273,1.93273,1.9323,3900
7/20/15,1.93526,1.93784,1.93268,1.93526,1.9346,56600
7/21/15,1.93526,1.93784,1.93526,1.93784,1.9359,3900
7/22/15,1.92767,1.92767,1.92251,1.92251,1.9257,32300
7/23/15,1.93265,1.93265,1.92491,1.92491,1.9302,7300
7/24/15,1.92216,1.92216,1.917,1.917,1.9175,2700
7/27/15,1.89651,1.89651,1.89134,1.89392,1.8951,36400
7/28/15,1.88611,1.89385,1.88095,1.89127,1.889,29800
7/29/15,1.90412,1.9196,1.90154,1.9067,1.908,20100
7/30/15,1.91415,1.91673,1.91415,1.91415,1.9154,5600
7/31/15,1.91941,1.92199,1.91941,1.92199,1.9195,9200
8/3/15,1.91916,1.91916,1.91142,1.914,1.9129,111200
8/4/15,1.90619,1.91135,1.90361,1.90619,1.9106,116600
8/5/15,1.90906,1.90906,1.9039,1.9039,1.905,13400
8/6/15,1.90169,1.91201,1.90169,1.91201,1.9093,40700
8/7/15,1.90407,1.90407,1.89633,1.89633,1.9023,185100
8/10/15,1.89604,1.89862,1.89346,1.89346,1.8958,64200
8/11/15,1.90636,1.90893,1.90378,1.90893,1.9075,20600
8/12/15,1.89273,1.89531,1.87983,1.87983,1.8884,21600
8/13/15,1.90319,1.90577,1.90319,1.90577,1.9054,10200
8/14/15,1.90054,1.9057,1.89796,1.9057,1.9009,15300
8/17/15,1.90852,1.90852,1.90594,1.90594,1.9068,9400
8/18/15,1.91363,1.91879,1.90589,1.90589,1.9112,111700
8/19/15,1.90894,1.90894,1.90378,1.90636,1.9062,3800
8/20/15,1.89619,1.89877,1.88329,1.88845,1.8942,85200
8/21/15,1.88881,1.88881,1.83463,1.84495,1.844,102000
8/24/15,1.84168,1.84168,1.74624,1.77203,1.766,121200
8/25/15,1.75443,1.76217,1.72863,1.76217,1.7445,186700
8/26/15,1.72863,1.73379,1.70283,1.72605,1.7208,100800
8/27/15,1.7935,1.7935,1.76512,1.78834,1.7758,59600
8/28/15,1.81675,1.81933,1.80643,1.80901,1.8126,49000
8/31/15,1.80643,1.80643,1.79611,1.80385,1.7999,126000
9/1/15,1.78062,1.78062,1.76256,1.76256,1.7764,158200
9/2/15,1.76256,1.77288,1.75998,1.76514,1.7653,62300
9/3/15,1.76256,1.77288,1.75998,1.76514,1.7653,62300
9/4/15,1.77548,1.77806,1.76516,1.76774,1.7719,47900
9/7/15,1.77032,1.77548,1.76774,1.77032,1.7709,36700
9/8/15,1.77261,1.78551,1.77261,1.78551,1.7765,10000
9/9/15,1.79578,1.81642,1.79578,1.81642,1.8095,323600
9/10/15,1.80385,1.80385,1.7703,1.78578,1.7777,22000
9/11/15,1.79094,1.79094,1.77546,1.78062,1.78,48900
9/14/15,1.79611,1.79611,1.79353,1.79353,1.7947,2700
9/15/15,1.78836,1.78836,1.78062,1.78062,1.7833,15400
9/16/15,1.8167,1.8167,1.79864,1.80638,1.8006,89500
9/17/15,1.81933,1.82191,1.81933,1.81933,1.8198,104900
9/18/15,1.82707,1.82707,1.81159,1.81675,1.8154,110800
9/21/15,1.78576,1.79092,1.7806,1.78834,1.7844,112600
9/22/15,1.79869,1.80127,1.78578,1.78578,1.7911,168500
9/23/15,1.76772,1.76772,1.75482,1.76772,1.7581,41200
9/24/15,1.77019,1.77019,1.76502,1.76502,1.7654,51700
9/25/15,1.77288,1.77546,1.7703,1.77288,1.7714,25800
9/28/15,1.77288,1.77546,1.7703,1.77288,1.7714,25800
9/29/15,1.72643,1.72643,1.70837,1.71869,1.7152,37300
9/30/15,1.72638,1.73671,1.72638,1.73413,1.733,25300
10/1/15,1.72638,1.73671,1.72638,1.73413,1.733,25300
